,coconut_id,unique_smiles
205851,CNP0249261,O=C(OC)C=1C=CC=CC1OCC(=O)NCC(=O)N(C)C
205855,CNP0111066,O=C(O)C(NC(=O)C1N(C(=O)C(NC(=O)C2NC(=O)C(NC(=O)C(NC(=O)C(=O)C3=CC(Cl)=C(O)C(Cl)=C3)CC4(O)C(=O)NC5=CC(=CC=C54)C=6C=C2C=C(OC7=CC=C(C=C7)C1)C6O)C8=CC(Cl)=C(O)C(Cl)=C8)C9=CC(Cl)=C(O)C(Cl)=C9)C)C%10=CC=C(O)C=C%10
205856,CNP0255341,O=C(O)C=CC1=CC=C(O)C=C1
205857,CNP0311297,OC1CC2(C(=CCC3C4CC=C(C(N(C)C)C)C4(C)CCC32)CC1OC)C
205861,CNP0231780,O=C(N)C(F)=CN
205864,CNP0148804,O=C1C=C2C(O)(C)CCCC2(C)CC1
205868,CNP0073582,O=C1C=2C=CC=C(OC3OC(C)C(O)C(O)C3O)C2C(=O)C4=C(O)C5=C(OC6OC(C)C(O)C(O)C6O)C=C(C=C5C=C14)C
205882,CNP0124340,OC1C2OC3(O)C(OC)(OCC3(O)C2CCC1(O)C)CC(C)C
205894,CNP0308935,O=C1OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC1C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C
205895,CNP0108184,O=C1C(=O)C23OC3CCC(C)C2(C)C4C1C4(C)C
205900,CNP0171125,O=CC(O)C(NC(=O)C)C(O)C(O)C
205914,CNP0153972,O=C1C(=COC=2C(OC)=C(OC)C=C(OC3OC(CO)C(O)C(O)C3OC4OCC(O)C(O)C4O)C12)C=5C=CC(OC)=CC5
205917,CNP0233837,BrC=1C=CC2=C(C1)NC=3C(=NC=CC23)C=C
205919,CNP0402021,O=C(N)C1N(C(=O)C(NC(=O)C(O)CC2=CC=C(O)C=C2)CC=3C=CC=CC3)C4CC(O)CCC4C1
205924,CNP0261597,O=C(OC1=CC2(C)C(CC(OC(=O)C)C3(O)C(OC(=O)C)C(C=C)(C)CC(O)C32)C(C1=O)(C)C)C
205925,CNP0165521,O=CC1=C(O)C(=NC=C1COP(=O)(O)O)C
205927,CNP0118773,O=C(OC(C)C(O)C(O)CO)C=1C(O)=CC(O)=CC1C
205929,CNP0156081,O=C1C=2C(O)=CC=CC2C(=O)C34OC5(C)CC(=O)C4(O)C(O)(CCC13O)C5
205930,CNP0123261,O=S(=O)(O)OC=1C=CC=C(O)C1O
205934,CNP0386858,OCC(=C)C=1C=C2C(=CC1OC)CCCC2C
205944,CNP0324154,O=C(O)C1(C)CC2C3=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC6OC1CC62C
205945,CNP0292668,O=S(=O)(O)OC=1C=C(OS(=O)(=O)O)C=C(C1)CCCCCCCCCCCCC(C)C
205949,CNP0177583,OC1C2CC3C1C(O)(CC2OC)C4CC5C6(C)CN(CC)C4C35C(OC)CC6
205951,CNP0323318,O=C(C=CC=CC)N1CCC23C=4C=CC=CC4NC5NC6=CC=CC7=C6C53CCN(C7C8OC8(C)C)C12
205954,CNP0410318,O=C1OC2(C)C(C(=O)NC12C(O)C3C=CCCC3)CCCl
205957,CNP0323851,O=C(OCC1(C)C(OC(=O)CC23CC(=O)OC3(C)CCC12O)C)C
205959,CNP0199363,O=C(C(=O)C1=CC=C(O)C=C1O)C2=CC=C(O)C=C2O
205966,CNP0132996,O=C1C(Cl)=CC2(OC(O)C(N=C(O)C=CC(=CC(C)CCCCCC)C)C2)C=C1Cl
